appid,review_score,review_score_desc,total_reviews
1763250,8.0,Very Positive,1862.0
1805480,8.0,Very Positive,2405.0
3800340,8.0,Very Positive,698.0
413420,9.0,Overwhelmingly Positive,11700.0
2334730,8.0,Very Positive,13419.0
3156770,8.0,Very Positive,8193.0
3339200,0.0,No user reviews,0.0
4054540,0.0,No user reviews,0.0
17480,8.0,Very Positive,5455.0
204100,8.0,Very Positive,22557.0
295270,6.0,Mostly Positive,972.0
1583320,8.0,Very Positive,3693.0
2198150,9.0,Overwhelmingly Positive,12205.0
2346550,0.0,No user reviews,0.0
3017450,0.0,No user reviews,0.0
32370,8.0,Very Positive,21485.0
313120,6.0,Mostly Positive,22984.0
365960,6.0,Mostly Positive,3374.0
670290,0.0,No user reviews,0.0
731490,8.0,Very Positive,6813.0
756800,9.0,Overwhelmingly Positive,9363.0
758190,8.0,Very Positive,1062.0
1268750,8.0,Very Positive,20255.0
1588010,6.0,Mostly Positive,4192.0
3879240,0.0,No user reviews,0.0
259680,8.0,Very Positive,3844.0
1138190,0.0,No user reviews,0.0
1681430,8.0,Very Positive,12717.0
