appid,review_score,review_score_desc,total_reviews
898920,6.0,Mostly Positive,4074.0
3226530,8.0,Very Positive,1849.0
3474900,6.0,Mostly Positive,112.0
645630,8.0,Very Positive,21458.0
203160,8.0,Very Positive,48492.0
269210,5.0,Mixed,11913.0
601150,9.0,Overwhelmingly Positive,35790.0
1574360,0.0,No user reviews,0.0
2079120,0.0,No user reviews,0.0
70,9.0,Overwhelmingly Positive,54129.0
926990,9.0,Overwhelmingly Positive,8627.0
2832330,0.0,No user reviews,0.0
223750,8.0,Very Positive,374.0
3772580,0.0,No user reviews,0.0
690790,8.0,Very Positive,17625.0
1846380,5.0,Mixed,18593.0
3815860,0.0,No user reviews,0.0
371970,8.0,Very Positive,7051.0
293760,8.0,Very Positive,10670.0
1197260,0.0,No user reviews,0.0
2009350,8.0,Very Positive,1931.0
2692440,0.0,No user reviews,0.0
668580,6.0,Mostly Positive,11797.0
2069310,8.0,Very Positive,530.0
1283700,0.0,No user reviews,0.0
1876890,9.0,Overwhelmingly Positive,1987.0
493340,8.0,Very Positive,30641.0
1721470,8.0,Very Positive,16113.0
337410,0.0,No user reviews,0.0
1054490,8.0,Very Positive,5956.0
287450,8.0,Very Positive,7537.0
2386720,8.0,Very Positive,61.0
2394010,0.0,No user reviews,0.0
2668080,0.0,No user reviews,0.0
1809540,9.0,Overwhelmingly Positive,15682.0
774361,8.0,Very Positive,16856.0
1812820,0.0,No user reviews,0.0
268850,5.0,Mixed,37.0
774801,9.0,Overwhelmingly Positive,20825.0
3399960,8.0,Very Positive,261.0
3416070,9.0,Overwhelmingly Positive,1645.0
2551020,0.0,No user reviews,0.0
464920,8.0,Very Positive,9977.0
220240,8.0,Very Positive,39579.0
544810,6.0,Mostly Positive,37.0
3375780,9.0,Overwhelmingly Positive,997.0
2488370,8.0,Very Positive,2559.0
3454590,9.0,Overwhelmingly Positive,1214.0
699130,8.0,Very Positive,6161.0
1154030,8.0,Very Positive,5406.0
1782210,0.0,No user reviews,0.0
2840770,5.0,Mixed,3195.0
3165830,7.0,Positive,17.0
249130,8.0,Very Positive,7439.0
489630,8.0,Very Positive,4914.0
502520,8.0,Very Positive,5386.0
1176470,8.0,Very Positive,4579.0
200510,8.0,Very Positive,24367.0
671860,8.0,Very Positive,77779.0
2186320,9.0,Overwhelmingly Positive,4167.0
3308670,0.0,No user reviews,0.0
1118310,0.0,No user reviews,0.0
2157560,8.0,Very Positive,3401.0
454650,8.0,Very Positive,17861.0
636480,9.0,Overwhelmingly Positive,43720.0
2892880,0.0,No user reviews,0.0
3656800,6.0,Mostly Positive,180.0
109600,5.0,Mixed,108.0
610080,0.0,No user reviews,0.0
2014780,8.0,Very Positive,2364.0
1213210,8.0,Very Positive,17144.0
2668510,8.0,Very Positive,7801.0
397900,0.0,4 user reviews,4.0
2124120,8.0,Very Positive,2977.0
315210,5.0,Mixed,7175.0
897330,7.0,Positive,45.0
678960,8.0,Very Positive,18284.0
1693980,8.0,Very Positive,26646.0
2989820,0.0,No user reviews,0.0
221040,6.0,Mostly Positive,12381.0
362890,8.0,Very Positive,66118.0
